post,caption,date,likesComment,idFatherComment,idChildComment,username
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-06T18:22:23.000Z,1 like,pushkidsoffbikes_,,pushkidsoffbikes_
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-08T00:22:06.000Z,1 like,lilcatu,,lilcatu
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-11T02:18:38.000Z,0 like,boss.2196,,boss.2196
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-12T17:32:35.000Z,1 like,soren_feistel,,soren_feistel
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-13T12:04:48.000Z,1 like,ericwjya,,ericwjya
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-14T21:47:27.000Z,1 like,janika_overgaard,,janika_overgaard
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,michellebjoerklund,michellebjoerklund
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-15T21:17:12.000Z,0 like,jimbodie,,jimbodie
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-16T08:18:51.000Z,1 like,senator_blair,,senator_blair
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,mackaivr,mackaivr
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-16T10:18:28.000Z,0 like,marie_in_amsterdam,,marie_in_amsterdam
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-16T17:25:45.000Z,0 like,muhammadnaumaniqbal,,muhammadnaumaniqbal
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-17T09:51:44.000Z,0 like,_hugomnt_,,_hugomnt_
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,lamigatina,lamigatina
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2021-01-18T18:27:22.000Z,0 like,usc_srt8,,usc_srt8
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,fit_affiliated,fit_affiliated
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,usc_srt8,usc_srt8
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-25T08:07:19.000Z,1 like,str8teneight,,str8teneight
